gp-common-timestamp,before,dirty_reboot_time
2024-03-21T04:54:19Z,"[2024-03-14T06:48:27+00:00]: The resource property NVSwitch_0 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][242][00] SXID 24007 Severity 1 Engine instance 57 Sub-engine instance 00'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:48:29+00:00]: The resource property NVSwitch_0 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][243][02] SXID 24007 Data {0x00000020; 0x0000003e; 0x00000020; 0x0000003e; 0x00'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:48:31+00:00]: The resource property NVSwitch_0 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][244][00] SXID 24007 Fatal; Link 60 sourcetrack timeout error (First)d7'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:48:32+00:00]: The resource property NVSwitch_0 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][245][00] SXID 24007 Severity 1 Engine instance 60 Sub-engine instance 00'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:48:34+00:00]: The resource property NVSwitch_0 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][246][02] SXID 24007 Data {0x00000020; 0x0000003e; 0x00000020; 0x0000003e; 0x00'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:48:36+00:00]: The resource property NVSwitch_0 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][247][00] SXID 24007 Fatal; Link 61 sourcetrack timeout error (First)'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:48:38+00:00]: The resource property NVSwitch_0 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][248][00] SXID 24007 Severity 1 Engine instance 61 Sub-engine instance 00'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:48:40+00:00]: The resource property NVSwitch_0 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][249][02] SXID 24007 Data {0x00000020; 0x0000003e; 0x00000020; 0x0000003e; 0x00'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:50:01+00:00]: The resource property NVSwitch_2 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][300][02] SXID 24007 Data {0x00000020; 0x0000003e; 0x00000020; 0x0000003e; 0x00'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:50:03+00:00]: The resource property NVSwitch_2 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][301][00] SXID 24007 Fatal; Link 55 sourcetrack timeout error (First)'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:50:05+00:00]: The resource property NVSwitch_2 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][302][00] SXID 24007 Severity 1 Engine instance 55 Sub-engine instance 00'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:50:07+00:00]: The resource property NVSwitch_2 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][303][02] SXID 24007 Data {0x00000020; 0x0000003e; 0x00000020; 0x0000003e; 0x00'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:50:09+00:00]: The resource property NVSwitch_2 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][304][00] SXID 24007 Fatal; Link 58 sourcetrack timeout error (First)00'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:50:10+00:00]: The resource property NVSwitch_2 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][305][00] SXID 24007 Severity 1 Engine instance 58 Sub-engine instance 000x'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:50:12+00:00]: The resource property NVSwitch_2 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][306][02] SXID 24007 Data {0x00000020; 0x0000003e; 0x00000020; 0x0000003e; 0x00'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:50:14+00:00]: The resource property NVSwitch_2 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][307][00] SXID 24007 Fatal; Link 59 sourcetrack timeout error (First)00'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:50:16+00:00]: The resource property NVSwitch_2 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][308][00] SXID 24007 Severity 1 Engine instance 59 Sub-engine instance 000x'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:50:18+00:00]: The resource property NVSwitch_2 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][309][02] SXID 24007 Data {0x00000020; 0x0000003e; 0x00000020; 0x0000003e; 0x00'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:52:41+00:00]: The resource property NVSwitch_3 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:21 UTC 2024][241][02] SXID 24007 Data {0x00000020; 0x0000003e; 0x00000020; 0x0000003e; 0x00'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:53:45+00:00]: The resource property NVSwitch_3 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:21 UTC 2024][243][00] SXID 24007 Severity 1 Engine instance 37 Sub-engine instance 000x'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:53:47+00:00]: The resource property NVSwitch_3 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:21 UTC 2024][244][02] SXID 24007 Data {0x00000020; 0x0000003e; 0x00000020; 0x0000003e; 0x00'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:53:49+00:00]: The resource property NVSwitch_3 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][245][00] SXID 24007 Fatal; Link 50 sourcetrack timeout error (First)13'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:53:51+00:00]: The resource property NVSwitch_3 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][246][00] SXID 24007 Severity 1 Engine instance 50 Sub-engine instance 000x'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:53:52+00:00]: The resource property NVSwitch_3 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][247][02] SXID 24007 Data {0x00000020; 0x0000003e; 0x00000020; 0x0000003e; 0x00'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:53:54+00:00]: The resource property NVSwitch_3 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][248][00] SXID 24007 Fatal; Link 51 sourcetrack timeout error (First)14'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:53:56+00:00]: The resource property NVSwitch_3 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][249][00] SXID 24007 Severity 1 Engine instance 51 Sub-engine instance 000x'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:53:58+00:00]: The resource property NVSwitch_3 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][250][02] SXID 24007 Data {0x00000020; 0x0000003e; 0x00000020; 0x0000003e; 0x00'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T06:53:59+00:00]: The resource property NVSwitch_3 Driver Event Message has detected errors of type '[Thu Mar 14 06:42:22 UTC 2024][251][00] SXID 24007 Fatal; Link 54 sourcetrack timeout error (First)14'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
